date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2003,KOR,KRW,South Korea,3300,1220,2.704918033,0.09956,-0.09261,-0.13971,0.23889,1.2623,11530.71299,2.059466218,0.46766,0.02912,0.00037,0.68874,0.98443
4/1/2003,MEX,MXN,Mexico,23,10.53,2.184235518,-0.1121,-0.26728,-0.30531,0.00041,0.82682,7896.098802,1.961467541,0.24436,-0.12746,-0.15184,0.43179,0.6825
4/1/2003,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.46085,-0.55508,-0.57817,-0.39253,0.10928,7769.696702,1.958059411,-0.24308,-0.46925,-0.48408,-0.12907,0.02343
4/1/2003,NZL,NZD,New Zealand,3.95,1.78,2.219101124,-0.09793,-0.25558,-0.29422,0.01638,0.85598,20237.98281,2.294236919,0.08085,-0.24211,-0.26328,0.24366,0.46142
4/1/2003,PER,PEN,Peru,7.9,3.46,2.283236994,-0.07185,-0.23407,-0.27383,0.04576,0.90962,2086.148506,1.80481613,0.41366,-0.00875,-0.03644,0.6266,0.91142
4/1/2003,PHL,PHP,Philippines,65,52.5,1.238095238,-0.49671,-0.58467,-0.60623,-0.43293,0.0355,1937.51462,1.800808573,-0.23173,-0.46129,-0.47634,-0.11601,0.03878
4/1/2003,POL,PLN,Poland,6.3,3.89,1.619537275,-0.34165,-0.45671,-0.48491,-0.25823,0.35452,7973.053676,1.963542446,-0.07833,-0.35373,-0.37178,0.06051,0.2462
4/1/2003,RUS,RUB,Russia,41,31.1,1.318327974,-0.46409,-0.55776,-0.58071,-0.39619,0.1026,3938.67762,1.854765146,-0.20574,-0.44307,-0.45863,-0.0861,0.07392
4/1/2003,SGP,SGD,Singapore,3.3,1.78,1.853932584,-0.24637,-0.37808,-0.41036,-0.15087,0.55056,28983.21756,2.530031254,-0.18117,-0.42584,-0.44188,-0.05783,0.10715
4/1/2003,SWE,SEK,Sweden,30,8.34,3.597122302,0.46224,0.20668,0.14405,0.64754,2.0085,23054.27852,2.370171596,0.69591,0.18916,0.15594,0.95136,1.29304
4/1/2003,THA,THB,Thailand,59,42.7,1.381733021,-0.43832,-0.53649,-0.56055,-0.36715,0.15563,3507.4316,1.843137629,-0.16229,-0.4126,-0.42901,-0.03611,0.13267
4/1/2003,TUR,TRY,Turkey,3750000,1600500,2.343017807,-0.04755,-0.21402,-0.25481,0.07314,0.95961,0.002472543,1.748568193,0.49734,0.04993,0.0206,0.72288,1.02456
4/1/2003,TWN,TWD,Taiwan,70,34.8,2.011494253,-0.18232,-0.32523,-0.36025,-0.0787,0.68234,15872.1996,2.176524019,0.03272,-0.27586,-0.29609,0.18828,0.39634
4/1/2003,USA,USD,United States,2.46,1,2.46,0,-0.17477,-0.21761,0.12672,1.05745,37101.453,2.748920052,0,-0.29881,-0.31839,0.15063,0.3521
4/1/2003,VEN,VEF,Venezuela,3700,1598,2.315394243,-0.05878,-0.22328,-0.2636,0.06049,0.93651,,,,,,,
4/1/2003,ZAF,ZAR,South Africa,13.95,7.56,1.845238095,-0.2499,-0.381,-0.41313,-0.15485,0.54329,4496.693252,1.869810703,0.10276,-0.22675,-0.24835,0.26887,0.49105
5/1/2004,ARG,ARS,Argentina,4.36,2.95,1.477966102,-0.40163,-0.5505,-0.56081,-0.36256,0.17669,5277.489243,2.088033321,-0.17451,-0.46193,-0.45318,-0.11419,0.1352
5/1/2004,AUS,AUD,Australia,3.25,1.43,2.272727273,-0.07987,-0.30878,-0.32464,-0.01978,0.80944,30325.66288,2.695729991,-0.01677,-0.35911,-0.3487,0.05508,0.35213
5/1/2004,BRA,BRL,Brazil,5.4,3.18,1.698113208,-0.3125,-0.48354,-0.49539,-0.26761,0.35196,3799.527357,2.052176315,-0.03498,-0.37098,-0.36076,0.03554,0.32709
5/1/2004,CAN,CAD,Canada,3.19,1.37,2.328467153,-0.0573,-0.29183,-0.30807,0.00426,0.85382,29522.00524,2.676232359,0.01469,-0.3386,-0.32786,0.08883,0.39538
5/1/2004,CHE,CHF,Switzerland,6.3,1.29,4.88372093,0.97721,0.48532,0.45124,1.10634,2.88819,26072.87618,2.592552636,1.1969,0.43198,0.45525,1.35742,2.02113
5/1/2004,CHL,CLP,Chile,1400,641,2.184087363,-0.11575,-0.33574,-0.35098,-0.05801,0.73887,5445.077357,2.092099196,0.21751,-0.2064,-0.19351,0.30647,0.6743
5/1/2004,CHN,CNY,China,10.4,8.28,1.256038647,-0.49148,-0.61799,-0.62676,-0.45827,0,2243.23975,2.014419039,-0.27282,-0.52601,-0.51831,-0.21969,0
5/1/2004,COL,COP,Colombia,6500,2769.83,2.346714419,-0.04991,-0.28628,-0.30265,0.01213,0.86835,2307.443912,2.015976704,0.35757,-0.11511,-0.10073,0.45676,0.8669
5/1/2004,CRI,CRC,Costa Rica,1130,433.55,2.606389113,0.05522,-0.2073,-0.22549,0.12413,1.07509,,,,,,,
5/1/2004,CZE,CZK,Czech Republic,56.42,26.5,2.129056604,-0.13803,-0.35248,-0.36733,-0.08174,0.69506,11606.32967,2.241578059,0.10769,-0.27798,-0.26625,0.18863,0.52328
5/1/2004,DNK,DKK,Denmark,27.75,6.22,4.461414791,0.80624,0.35688,0.32575,0.9242,2.55197,23402.78528,2.527773248,1.05836,0.34168,0.36348,1.20876,1.83062
5/1/2004,EGY,EGP,Egypt,10,6.19,1.615508885,-0.34595,-0.50867,-0.51994,-0.30323,0.28619,1477.564868,1.995842911,-0.05601,-0.38468,-0.37469,0.01297,0.29816
5/1/2004,EUZ,EUR,Euro area,2.74,0.833333333,3.288000001,0.33117,0,-0.02294,0.41811,1.61775,22235.87677,2.499462744,0.53416,0,0.01625,0.64626,1.10975
5/1/2004,GBR,GBP,Britain,1.88,0.558659218,3.365199999,0.36243,0.02348,0,0.4514,1.67922,26367.7532,2.599706682,0.50964,-0.01599,0,0.61994,1.07603
5/1/2004,HKG,HKD,Hong Kong,12,7.79,1.540436457,-0.37634,-0.5315,-0.54225,-0.33561,0.22642,39703.20505,2.923239639,-0.38544,-0.59942,-0.59291,-0.34053,-0.15486
5/1/2004,HUN,HUF,Hungary,530,211,2.511848341,0.01694,-0.23606,-0.25358,0.08335,0.99982,7985.096979,2.153722909,0.36016,-0.11342,-0.09902,0.45954,0.87047
5/1/2004,IDN,IDR,Indonesia,16100,9120,1.765350877,-0.28528,-0.46309,-0.47541,-0.23861,0.40549,1432.640118,1.994752986,0.03212,-0.32725,-0.31632,0.10753,0.41935
