year,period,value_type,mean_temp_c,baseline_1961_1990,baseline_1991_2020
1904,February,Monthly,2.4,2.96,4.13
1904,March,Monthly,3.4,4.67,5.7
1904,April,Monthly,7.5,6.73,7.87
1904,May,Monthly,9.4,9.75,10.64
1904,June,Monthly,12.2,12.66,13.33
1904,July,Monthly,15.1,14.4,15.29
1904,August,Monthly,13.7,14.24,15.11
1904,September,Monthly,11.6,12.2,12.93
1904,October,Monthly,8.8,9.43,9.73
1904,November,Monthly,4.7,5.51,6.48
1904,December,Monthly,3.5,3.83,4.2
1904,Winter,Seasonal,2.78,3.27,4.08
1904,Spring,Seasonal,6.76,7.05,8.07
1904,Summer,Seasonal,13.67,13.78,14.59
1904,Autumn,Seasonal,8.38,9.05,9.71
1904,Annual,Annual,7.99,8.31,9.14
1905,January,Monthly,3.4,3.02,3.92
1905,February,Monthly,4.1,2.96,4.13
1905,March,Monthly,5.6,4.67,5.7
1905,April,Monthly,6,6.73,7.87
1905,May,Monthly,9.7,9.75,10.64
1905,June,Monthly,13.5,12.66,13.33
1905,July,Monthly,15.6,14.4,15.29
1905,August,Monthly,13.4,14.24,15.11
1905,September,Monthly,11.3,12.2,12.93
1905,October,Monthly,6.4,9.43,9.73
1905,November,Monthly,4.3,5.51,6.48
1905,December,Monthly,4.7,3.83,4.2
1905,Winter,Seasonal,3.63,3.27,4.08
1905,Spring,Seasonal,7.11,7.05,8.07
1905,Summer,Seasonal,14.18,13.78,14.59
1905,Autumn,Seasonal,7.33,9.05,9.71
1905,Annual,Annual,8.19,8.31,9.14
1906,January,Monthly,4.3,3.02,3.92
1906,February,Monthly,2.2,2.96,4.13
1906,March,Monthly,3.9,4.67,5.7
1906,April,Monthly,6.1,6.73,7.87
1906,May,Monthly,8.9,9.75,10.64
1906,June,Monthly,12.9,12.66,13.33
1906,July,Monthly,14.1,14.4,15.29
1906,August,Monthly,15.2,14.24,15.11
1906,September,Monthly,12.8,12.2,12.93
1906,October,Monthly,9.5,9.43,9.73
1906,November,Monthly,6.6,5.51,6.48
1906,December,Monthly,2.5,3.83,4.2
1906,Winter,Seasonal,3.78,3.27,4.08
1906,Spring,Seasonal,6.31,7.05,8.07
1906,Summer,Seasonal,14.06,13.78,14.59
1906,Autumn,Seasonal,9.65,9.05,9.71
1906,Annual,Annual,8.29,8.31,9.14
1907,January,Monthly,3,3.02,3.92
1907,February,Monthly,2.1,2.96,4.13
1907,March,Monthly,5.4,4.67,5.7
1907,April,Monthly,6.5,6.73,7.87
1907,May,Monthly,9.1,9.75,10.64
1907,June,Monthly,11.1,12.66,13.33
1907,July,Monthly,13,14.4,15.29
1907,August,Monthly,12.8,14.24,15.11
1907,September,Monthly,12.5,12.2,12.93
1907,October,Monthly,8.7,9.43,9.73
1907,November,Monthly,5.6,5.51,6.48
1907,December,Monthly,3.8,3.83,4.2
1907,Winter,Seasonal,2.56,3.27,4.08
1907,Spring,Seasonal,7,7.05,8.07
1907,Summer,Seasonal,12.32,13.78,14.59
1907,Autumn,Seasonal,8.93,9.05,9.71
1907,Annual,Annual,7.83,8.31,9.14
1908,January,Monthly,2.2,3.02,3.92
1908,February,Monthly,4.4,2.96,4.13
1908,March,Monthly,3.3,4.67,5.7
1908,April,Monthly,5,6.73,7.87
1908,May,Monthly,10.9,9.75,10.64
1908,June,Monthly,12.8,12.66,13.33
1908,July,Monthly,14.3,14.4,15.29
1908,August,Monthly,13.3,14.24,15.11
1908,September,Monthly,11.8,12.2,12.93
1908,October,Monthly,11.2,9.43,9.73
1908,November,Monthly,6.6,5.51,6.48
1908,December,Monthly,3.6,3.83,4.2
1908,Winter,Seasonal,3.45,3.27,4.08
1908,Spring,Seasonal,6.43,7.05,8.07
1908,Summer,Seasonal,13.49,13.78,14.59
1908,Autumn,Seasonal,9.88,9.05,9.71
1908,Annual,Annual,8.31,8.31,9.14
1909,January,Monthly,2.9,3.02,3.92
1909,February,Monthly,2.7,2.96,4.13
1909,March,Monthly,2.5,4.67,5.7
1909,April,Monthly,7.3,6.73,7.87
1909,May,Monthly,9.5,9.75,10.64
1909,June,Monthly,11,12.66,13.33
1909,July,Monthly,13.3,14.4,15.29
1909,August,Monthly,14.1,14.24,15.11
1909,September,Monthly,10.9,12.2,12.93
1909,October,Monthly,9,9.43,9.73
1909,November,Monthly,4,5.51,6.48
1909,December,Monthly,2.6,3.83,4.2
1909,Winter,Seasonal,3.1,3.27,4.08
1909,Spring,Seasonal,6.41,7.05,8.07
1909,Summer,Seasonal,12.83,13.78,14.59
1909,Autumn,Seasonal,7.99,9.05,9.71
1909,Annual,Annual,7.52,8.31,9.14
1910,January,Monthly,2.5,3.02,3.92
1910,February,Monthly,3.8,2.96,4.13
1910,March,Monthly,5.2,4.67,5.7
1910,April,Monthly,5.9,6.73,7.87
1910,May,Monthly,9.9,9.75,10.64
1910,June,Monthly,13.1,12.66,13.33
1910,July,Monthly,13.1,14.4,15.29
1910,August,Monthly,14,14.24,15.11
1910,September,Monthly,11.6,12.2,12.93
1910,October,Monthly,9.7,9.43,9.73
1910,November,Monthly,2.7,5.51,6.48
1910,December,Monthly,5.3,3.83,4.2
1910,Winter,Seasonal,2.93,3.27,4.08
1910,Spring,Seasonal,7.01,7.05,8.07
1910,Summer,Seasonal,13.39,13.78,14.59
1910,Autumn,Seasonal,8.01,9.05,9.71
1910,Annual,Annual,8.09,8.31,9.14
1911,January,Monthly,3.3,3.02,3.92
1911,February,Monthly,3.8,2.96,4.13
1911,March,Monthly,4.2,4.67,5.7
1911,April,Monthly,6.5,6.73,7.87
1911,May,Monthly,11.4,9.75,10.64
1911,June,Monthly,13,12.66,13.33
1911,July,Monthly,16,14.4,15.29
1911,August,Monthly,16.3,14.24,15.11
1911,September,Monthly,12.5,12.2,12.93
1911,October,Monthly,8.2,9.43,9.73
1911,November,Monthly,4.9,5.51,6.48
1911,December,Monthly,5.1,3.83,4.2
1911,Winter,Seasonal,4.15,3.27,4.08
1911,Spring,Seasonal,7.35,7.05,8.07
1911,Summer,Seasonal,15.14,13.78,14.59
1911,Autumn,Seasonal,8.56,9.05,9.71
1911,Annual,Annual,8.81,8.31,9.14
1912,January,Monthly,2.8,3.02,3.92
1912,February,Monthly,4.1,2.96,4.13
1912,March,Monthly,6,4.67,5.7
1912,April,Monthly,7.8,6.73,7.87
1912,May,Monthly,10.4,9.75,10.64
1912,June,Monthly,12.4,12.66,13.33
1912,July,Monthly,14.4,14.4,15.29
