Date,High (kg),Low (kg),Close (kg)
2016-12-25 0:00,39230.18,36387.81,39143.13
2016-11-25 0:00,38506.79,36110.59,37654.47
2016-10-26 0:00,42984.58,37984.58,38139.95
2016-09-26 0:00,43151.93,39919.73,40976.45
2016-08-27 0:00,43489.19,41883.98,43033.05
2016-07-28 0:00,43960.68,42380.39,42477.57
2016-06-28 0:00,44214.11,41979.07,43075.41
2016-05-29 0:00,43668.35,38580.01,42589.93
2016-04-29 0:00,41915.89,38808.2,38999.98
2016-03-30 0:00,40836.75,38877.65,40693.28
2016-02-29 0:00,41240.97,38858.92,39840.8
2016-01-30 0:00,40558.57,35874.61,39270.13
2015-12-31 0:00,36268.53,34043.94,35951.61
2015-12-01 0:00,35007.82,33645.6,34143.45
2015-11-01 0:00,36747.02,33855.94,34219
2015-10-02 0:00,38288.97,35537.94,36717.92
2015-09-02 0:00,37177.64,35350.39,35810.9
2015-08-03 0:00,37601.18,34761.23,36618.82
2015-07-04 0:00,37777.37,34648.3,35153.47
2015-06-04 0:00,38762.47,37219.47,37571.68
2015-05-05 0:00,39619.2,37907.58,38122.59
2015-04-05 0:00,39361.68,37633.9,38212.53
2015-03-06 0:00,39205.34,36753.53,38665.13
2015-02-04 0:00,40961.74,38285.75,38590.14
2015-01-05 0:00,42008.89,38050.41,40562.99
2014-12-06 0:00,39809.05,37589.05,38050.41
2014-11-06 0:00,39259.28,36751.52,38333.34
2014-10-07 0:00,40351.12,36592.05,36767.43
2014-09-07 0:00,40889.48,38045.26,38795.66
2014-08-08 0:00,42521.02,40426.35,40796.78
2014-07-09 0:00,43241.95,41175.04,42158.95
2014-06-09 0:00,42835.56,40201.45,42380.99
2014-05-10 0:00,42083.37,39904.98,40323.59
2014-04-10 0:00,42792.73,40797.57,41436.2
2014-03-11 0:00,44762.18,41087.25,42156.23
2014-02-09 0:00,43558.1,40680.15,43099.54
2014-01-10 0:00,41102.82,39471.17,40743.03
2013-12-11 0:00,40607.76,38074.12,39514.78
2013-11-11 0:00,41611.91,38966.3,40553.42
2013-10-12 0:00,43785.62,40257.56,41395.37
2013-09-12 0:00,44212.42,40609.45,40941.47
2013-08-13 0:00,46096.29,42327.42,43893.32
2013-07-14 0:00,43356.09,40856.53,42868.36
2013-06-14 0:00,44764.77,37975.02,41363.11
2013-05-15 0:00,45988.29,43051.54,44562.74
2013-04-15 0:00,48087.77,42513.05,45988.29
2013-03-16 0:00,51980.75,47543.9,47914.03
2013-02-14 0:00,53038.02,50045.66,51191.48
2013-01-15 0:00,54530.89,52775.9,52834.7
2012-12-16 0:00,54768.49,52367.15,53646.23
2012-11-16 0:00,56397.52,54191.88,54528.65
2012-10-17 0:00,56379.1,53789.52,55167.91
2012-09-17 0:00,57746.1,55611.93,56255.9
2012-08-18 0:00,57158.64,51794.79,57059.16
2012-07-19 0:00,52386.54,50280.65,51952.63
2012-06-19 0:00,52505.81,49793.16,50608.09
2012-05-20 0:00,52746.34,49308.69,52350.38
2012-04-20 0:00,53745.35,49118.53,51205.63
2012-03-21 0:00,54526.34,51862.43,52789.66
